Disease	Disease1	ICD-11_Code	Category
Infection, unspecified	Infection, unspecified	1H0Z	0
Cholera	Cholera	1A00	0
Cholera / Vibrio cholera O1, biovar cholerae	Cholera / Vibrio cholera O1, biovar cholerae	1A00&XN8P1	0
Cholera / Vibrio cholera O1, biovar eltor	Cholera / Vibrio cholera O1, biovar eltor	1A00&XN62R	0
Bacterial intestinal infections, unspecified	Bacterial intestinal infections, unspecified	1A0Z	0
Typhoid fever, unspecified	Typhoid fever, unspecified	1A07.Z	0
Paratyphoid fever	Paratyphoid fever	1A08	0
Salmonella infection, unspecified	Salmonella infection, unspecified	1A09.Z	0
Salmonella enteritis	Salmonella enteritis	1A09.0	0
Sepsis without septic shock	Sepsis without septic shock	1G40	0
Bacterial infection of unspecified site	Bacterial infection of unspecified site	1C41	0
Intestinal infections due to Shigella	Intestinal infections due to Shigella	1A02	0
Enteropathogenic Escherichia coli infection	Enteropathogenic Escherichia coli infection	1A03.0	0
Enterotoxigenic Escherichia coli infection	Enterotoxigenic Escherichia coli infection	1A03.1	0
Enteroinvasive Escherichia coli infection	Enteroinvasive Escherichia coli infection	1A03.2	0
Enterohaemorrhagic Escherichia coli infection	Enterohaemorrhagic Escherichia coli infection	1A03.3	0
Intestinal infections due to Escherichia coli, unspecified	Intestinal infections due to Escherichia coli, unspecified	1A03.Z	0
Gastroenteritis due to Campylobacter	Gastroenteritis due to Campylobacter	1A06	0
Intestinal infections due to Yersinia enterocolitica	Intestinal infections due to Yersinia enterocolitica	1A05	0
Intestinal infections due to Clostridioides difficile	Intestinal infections due to Clostridioides difficile	1A04	0
Bacterial foodborne intoxications, unspecified	Bacterial foodborne intoxications, unspecified	1A1Z	0
Foodborne staphylococcal intoxication	Foodborne staphylococcal intoxication	1A10	0
Botulism, unspecified	Botulism, unspecified	1A11.Z	0
Foodborne Clostridium perfringens intoxication	Foodborne Clostridium perfringens intoxication	1A12	0
Foodborne Bacillus cereus intoxication	Foodborne Bacillus cereus intoxication	1A13	0
Amoebiasis, unspecified	Amoebiasis, unspecified	1A36.Z	0
Acute amoebiasis	Acute amoebiasis	1A36.00	0
Intestinal infections due to Entamoeba, unspecified	Intestinal infections due to Entamoeba, unspecified	1A36.0Z	0
Amoeboma of intestine	Amoeboma of intestine	1A36.01	0
Amoebic liver abscess	Amoebic liver abscess	1A36.10	0
Amoebic lung abscess	Amoebic lung abscess	1A36.11	0
Extraintestinal infections due to Entamoeba / Brain / Intracranial abscess	Extraintestinal infections due to Entamoeba / Brain / Intracranial abscess	1A36.1&XA9738/1D03.3	0
Cutaneous amoebiasis	Cutaneous amoebiasis	1A36.12	0
Extraintestinal infections due to Entamoeba	Extraintestinal infections due to Entamoeba	1A36.1	0
Protozoal intestinal infections, unspecified	Protozoal intestinal infections, unspecified	1A3Z	0
Infections due to Balantidium coli	Infections due to Balantidium coli	1A30	0
Giardiasis	Giardiasis	1A31	0
Cryptosporidiosis	Cryptosporidiosis	1A32	0
Cystoisosporiasis, unspecified	Cystoisosporiasis, unspecified	1A33.Z	0
Viral intestinal infections, unspecified	Viral intestinal infections, unspecified	1A2Z	0
Gastroenteritis due to Rotavirus	Gastroenteritis due to Rotavirus	1A22	0
Enteritis due to Norovirus	Enteritis due to Norovirus	1A23	0
Enteritis due to Adenovirus	Enteritis due to Adenovirus	1A20	0
Infectious gastroenteritis or colitis without specification of infectious agent	Infectious gastroenteritis or colitis without specification of infectious agent	1A40.Z	0
Gastroenteritis or colitis without specification of origin	Gastroenteritis or colitis without specification of origin	1A40.0	0
Tuberculosis, unspecified	Tuberculosis, unspecified	1B1Z	0
Respiratory tuberculosis, confirmed	Respiratory tuberculosis, confirmed	1B10.0	0
Respiratory tuberculosis, not confirmed	Respiratory tuberculosis, not confirmed	1B10.1	0
Respiratory tuberculosis, without mention of bacteriological or histological confirmation	Respiratory tuberculosis, without mention of bacteriological or histological confirmation	1B10.Z	0
Tuberculosis of the nervous system, unspecified	Tuberculosis of the nervous system, unspecified	1B11.Z	0
Tuberculous meningitis	Tuberculous meningitis	1B11.0	0
Meningeal tuberculoma	Meningeal tuberculoma	1B11.2	0
Tuberculosis of other systems and organs	Tuberculosis of other systems and organs	1B12	0
Tuberculosis of bones or joints	Tuberculosis of bones or joints	1B12.40	0
Tuberculosis of the genitourinary system	Tuberculosis of the genitourinary system	1B12.5	0
Tuberculous peripheral lymphadenopathy	Tuberculous peripheral lymphadenopathy	1B12.6	0
Tuberculosis of the digestive system	Tuberculosis of the digestive system	1B12.7	0
Cutaneous tuberculosis	Cutaneous tuberculosis	1B12.8	0
Tuberculosis of eye	Tuberculosis of eye	1B12.1	0
Tuberculosis of ear	Tuberculosis of ear	1B12.2	0
Tuberculosis of endocrine glands / Adrenal gland	Tuberculosis of endocrine glands / Adrenal gland	1B12.3&XA0NE9	0
Miliary tuberculosis, unspecified	Miliary tuberculosis, unspecified	1B13.Z	0
Acute miliary tuberculosis of a single specified site	Acute miliary tuberculosis of a single specified site	1B13.0	0
